case_id,replicate,depth_file,h_peak_ext,h_peak_int
11,49,depth_011.csv,0.6,0.2383
12,0,depth_012.csv,0.65,0.1938
12,1,depth_012.csv,0.65,0.2499
12,2,depth_012.csv,0.65,0.1625
12,3,depth_012.csv,0.65,0.1938
12,4,depth_012.csv,0.65,0.2972
12,5,depth_012.csv,0.65,0.0571
12,6,depth_012.csv,0.65,0.1938
12,7,depth_012.csv,0.65,0.1938
12,8,depth_012.csv,0.65,0.2972
12,9,depth_012.csv,0.65,0.2499
12,10,depth_012.csv,0.65,0.2499
12,11,depth_012.csv,0.65,0.1291
12,12,depth_012.csv,0.65,0.2229
12,13,depth_012.csv,0.65,0.1625
12,14,depth_012.csv,0.65,0.2499
12,15,depth_012.csv,0.65,0.2747
12,16,depth_012.csv,0.65,0.2229
12,17,depth_012.csv,0.65,0.3173
12,18,depth_012.csv,0.65,0.1625
12,19,depth_012.csv,0.65,0.2229
12,20,depth_012.csv,0.65,0.1938
12,21,depth_012.csv,0.65,0.2499
12,22,depth_012.csv,0.65,0.0937
12,23,depth_012.csv,0.65,0.1291
12,24,depth_012.csv,0.65,0.1938
12,25,depth_012.csv,0.65,0.2747
12,26,depth_012.csv,0.65,0.2499
12,27,depth_012.csv,0.65,0.3173
12,28,depth_012.csv,0.65,0.2972
12,29,depth_012.csv,0.65,0.1938
12,30,depth_012.csv,0.65,0.1938
12,31,depth_012.csv,0.65,0.0937
12,32,depth_012.csv,0.65,0.2499
12,33,depth_012.csv,0.65,0.2499
12,34,depth_012.csv,0.65,0.2499
12,35,depth_012.csv,0.65,0.2747
12,36,depth_012.csv,0.65,0.2972
12,37,depth_012.csv,0.65,0.2499
12,38,depth_012.csv,0.65,0.2747
12,39,depth_012.csv,0.65,0.1938
12,40,depth_012.csv,0.65,0.2499
12,41,depth_012.csv,0.65,0.1625
12,42,depth_012.csv,0.65,0.1938
12,43,depth_012.csv,0.65,0.2747
12,44,depth_012.csv,0.65,0.1625
12,45,depth_012.csv,0.65,0.1625
12,46,depth_012.csv,0.65,0.2499
12,47,depth_012.csv,0.65,0.2747
12,48,depth_012.csv,0.65,0.1938
12,49,depth_012.csv,0.65,0.2972
13,0,depth_013.csv,0.7,0.2327
13,1,depth_013.csv,0.7,0.2872
13,2,depth_013.csv,0.7,0.2327
13,3,depth_013.csv,0.7,0.2611
13,4,depth_013.csv,0.7,0.3512
13,5,depth_013.csv,0.7,0.1347
13,6,depth_013.csv,0.7,0.2327
13,7,depth_013.csv,0.7,0.2327
13,8,depth_013.csv,0.7,0.3324
13,9,depth_013.csv,0.7,0.2872
13,10,depth_013.csv,0.7,0.311
13,11,depth_013.csv,0.7,0.2022
13,12,depth_013.csv,0.7,0.2611
13,13,depth_013.csv,0.7,0.2327
13,14,depth_013.csv,0.7,0.2872
13,15,depth_013.csv,0.7,0.3324
13,16,depth_013.csv,0.7,0.2872
13,17,depth_013.csv,0.7,0.3512
13,18,depth_013.csv,0.7,0.2327
13,19,depth_013.csv,0.7,0.2611
13,20,depth_013.csv,0.7,0.2611
13,21,depth_013.csv,0.7,0.311
13,22,depth_013.csv,0.7,0.1695
13,23,depth_013.csv,0.7,0.2022
13,24,depth_013.csv,0.7,0.2327
13,25,depth_013.csv,0.7,0.3324
13,26,depth_013.csv,0.7,0.2872
13,27,depth_013.csv,0.7,0.3512
13,28,depth_013.csv,0.7,0.3324
13,29,depth_013.csv,0.7,0.2611
13,30,depth_013.csv,0.7,0.2611
13,31,depth_013.csv,0.7,0.1695
13,32,depth_013.csv,0.7,0.311
13,33,depth_013.csv,0.7,0.311
13,34,depth_013.csv,0.7,0.2872
13,35,depth_013.csv,0.7,0.3324
13,36,depth_013.csv,0.7,0.3324
13,37,depth_013.csv,0.7,0.2872
13,38,depth_013.csv,0.7,0.3324
13,39,depth_013.csv,0.7,0.2611
13,40,depth_013.csv,0.7,0.2872
13,41,depth_013.csv,0.7,0.2327
13,42,depth_013.csv,0.7,0.2611
13,43,depth_013.csv,0.7,0.311
