case,h_peak,t_peak,alpha,recession_ratio,n_steps
207,1.5,480,4.0,4.0,2405
208,1.5,960,1.5,1.5,2405
209,1.5,960,1.5,2.5,3365
210,1.5,960,1.5,4.0,4805
211,1.5,960,2.5,1.5,2405
212,1.5,960,2.5,2.5,3365
213,1.5,960,2.5,4.0,4805
214,1.5,960,4.0,1.5,2405
215,1.5,960,4.0,2.5,3365
216,1.5,960,4.0,4.0,4805
217,1.8,60,1.5,1.5,155
218,1.8,60,1.5,2.5,215
219,1.8,60,1.5,4.0,305
220,1.8,60,2.5,1.5,155
221,1.8,60,2.5,2.5,215
222,1.8,60,2.5,4.0,305
223,1.8,60,4.0,1.5,155
224,1.8,60,4.0,2.5,215
225,1.8,60,4.0,4.0,305
226,1.8,480,1.5,1.5,1205
227,1.8,480,1.5,2.5,1685
228,1.8,480,1.5,4.0,2405
229,1.8,480,2.5,1.5,1205
230,1.8,480,2.5,2.5,1685
231,1.8,480,2.5,4.0,2405
232,1.8,480,4.0,1.5,1205
233,1.8,480,4.0,2.5,1685
234,1.8,480,4.0,4.0,2405
235,1.8,960,1.5,1.5,2405
236,1.8,960,1.5,2.5,3365
237,1.8,960,1.5,4.0,4805
238,1.8,960,2.5,1.5,2405
239,1.8,960,2.5,2.5,3365
240,1.8,960,2.5,4.0,4805
241,1.8,960,4.0,1.5,2405
242,1.8,960,4.0,2.5,3365
243,1.8,960,4.0,4.0,4805
244,2.1,60,1.5,1.5,155
245,2.1,60,1.5,2.5,215
246,2.1,60,1.5,4.0,305
247,2.1,60,2.5,1.5,155
248,2.1,60,2.5,2.5,215
249,2.1,60,2.5,4.0,305
250,2.1,60,4.0,1.5,155
251,2.1,60,4.0,2.5,215
252,2.1,60,4.0,4.0,305
253,2.1,480,1.5,1.5,1205
254,2.1,480,1.5,2.5,1685
255,2.1,480,1.5,4.0,2405
256,2.1,480,2.5,1.5,1205
257,2.1,480,2.5,2.5,1685
258,2.1,480,2.5,4.0,2405
259,2.1,480,4.0,1.5,1205
260,2.1,480,4.0,2.5,1685
261,2.1,480,4.0,4.0,2405
262,2.1,960,1.5,1.5,2405
263,2.1,960,1.5,2.5,3365
264,2.1,960,1.5,4.0,4805
265,2.1,960,2.5,1.5,2405
266,2.1,960,2.5,2.5,3365
267,2.1,960,2.5,4.0,4805
268,2.1,960,4.0,1.5,2405
269,2.1,960,4.0,2.5,3365
270,2.1,960,4.0,4.0,4805
271,2.4,60,1.5,1.5,155
272,2.4,60,1.5,2.5,215
273,2.4,60,1.5,4.0,305
274,2.4,60,2.5,1.5,155
275,2.4,60,2.5,2.5,215
276,2.4,60,2.5,4.0,305
277,2.4,60,4.0,1.5,155
278,2.4,60,4.0,2.5,215
279,2.4,60,4.0,4.0,305
280,2.4,480,1.5,1.5,1205
281,2.4,480,1.5,2.5,1685
282,2.4,480,1.5,4.0,2405
283,2.4,480,2.5,1.5,1205
284,2.4,480,2.5,2.5,1685
285,2.4,480,2.5,4.0,2405
286,2.4,480,4.0,1.5,1205
287,2.4,480,4.0,2.5,1685
288,2.4,480,4.0,4.0,2405
289,2.4,960,1.5,1.5,2405
290,2.4,960,1.5,2.5,3365
291,2.4,960,1.5,4.0,4805
292,2.4,960,2.5,1.5,2405
293,2.4,960,2.5,2.5,3365
294,2.4,960,2.5,4.0,4805
295,2.4,960,4.0,1.5,2405
296,2.4,960,4.0,2.5,3365
297,2.4,960,4.0,4.0,4805
