replicate_id,u_membrane:1,h_star_1_membrane:1,peak_h_in_m,peak_h_basement_m,peak_h_sump_m,peak_h_ext_m,total_volume_in_m3
185,0.6616612631677611,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
186,0.37365772887371007,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
187,0.09446666806151527,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
188,0.746789611349026,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
189,0.2624605159228647,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
190,0.9368131505337792,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
191,0.24097057500568475,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
192,0.12275793241148603,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
193,0.8311126721249061,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
194,0.15328431662449404,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
195,0.1792683081577391,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
196,0.5993827915208435,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
197,0.8745620408374645,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
198,0.19643466571457324,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
199,0.31032367290009477,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
200,0.7774048382411776,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
201,0.9718264260609674,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
202,0.5007411862023423,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
203,0.14389750255125078,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
204,0.013936287708201545,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
205,0.22965602999885526,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
206,0.13182221778652103,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
207,0.6776586736128575,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
208,0.12183250462853112,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
209,0.506329931620633,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
210,0.6942624356428865,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
211,0.5811166092209024,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
212,0.19977565166005762,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
213,0.8041245261822627,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
214,0.7154071296158017,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
215,0.7389840039155418,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
