time,F_hydro_N,F_drag_N,F_total_N,M_overturn_Nm,H_net_m,H_wet_m,v_m_per_s,lever_hydro_m,lever_drag_m
5520.0,0.0,2272.9728,2272.9728,343.2188928,0.0,0.302,1.12,0.0,0.151
5580.0,0.0,2359.7112,2359.7112,363.39552480000003,0.0,0.308,1.1300000000000001,0.0,0.154
5640.0,0.0,2448.4464,2448.4464,384.4060848,0.0,0.314,1.14,0.0,0.157
5700.0,0.0,2539.1999999999994,2539.1999999999994,406.27199999999993,0.0,0.32,1.15,0.0,0.16
5760.0,0.0,2631.9936,2631.9936,429.0149568,0.0,0.326,1.16,0.0,0.163
5820.0,0.0,2726.8487999999998,2726.8487999999998,452.65690079999996,0.0,0.332,1.17,0.0,0.166
5880.0,0.0,2823.7871999999993,2823.7871999999993,477.22003679999983,0.0,0.33799999999999997,1.18,0.0,0.16899999999999998
5940.0,0.0,2922.8304,2922.8304,502.7268287999999,0.0,0.344,1.19,0.0,0.172
6000.0,0.0,3023.9999999999995,3023.9999999999995,529.1999999999999,0.0,0.35,1.2,0.0,0.175
6060.0,0.0,3101.5253999999995,3101.5253999999995,552.0715211999999,0.0,0.356,1.2049999999999998,0.0,0.178
6120.0,0.0,3180.0251999999996,3180.0251999999996,575.5845611999999,0.0,0.362,1.21,0.0,0.181
6180.0,0.0,3259.5047999999997,3259.5047999999997,599.7488831999999,0.0,0.368,1.2149999999999999,0.0,0.184
6240.0,0.0,3339.9695999999994,3339.9695999999994,624.5743151999999,0.0,0.374,1.22,0.0,0.187
6300.0,0.0,3421.4249999999993,3421.4249999999993,650.0707499999999,0.0,0.38,1.2249999999999999,0.0,0.19
6360.0,0.0,3522.0312,3522.0312,683.2740528,0.0,0.388,1.23,0.0,0.194
6420.0,0.0,3623.9345999999996,3623.9345999999996,717.5390507999999,0.0,0.396,1.2349999999999999,0.0,0.198
6480.0,0.0,3727.1424,3727.1424,752.8827648,0.0,0.40399999999999997,1.24,0.0,0.20199999999999999
6540.0,0.0,3831.6617999999994,3831.6617999999994,789.3223307999998,0.0,0.412,1.2449999999999999,0.0,0.206
6600.0,0.0,3937.5,3937.5,826.875,0.0,0.42,1.25,0.0,0.21
6660.0,0.0,4025.763899999999,4025.763899999999,857.4877106999998,0.0,0.426,1.255,0.0,0.213
6720.0,0.0,4115.059200000001,4115.059200000001,888.8527872000001,0.0,0.432,1.26,0.0,0.216
6780.0,0.0,4205.391299999999,4205.391299999999,920.9806946999998,0.0,0.438,1.265,0.0,0.219
6840.0,0.0,4296.765600000001,4296.765600000001,953.8819632000002,0.0,0.444,1.27,0.0,0.222
6900.0,0.0,4389.1875,4389.1875,987.5671875,0.0,0.45,1.275,0.0,0.225
6960.0,0.0,4482.6624,4482.6624,1022.0470272000001,0.0,0.456,1.28,0.0,0.228
7020.0,0.0,4577.195699999999,4577.195699999999,1057.3322067,0.0,0.462,1.285,0.0,0.231
7080.0,0.0,4672.7928,4672.7928,1093.4335151999999,0.0,0.46799999999999997,1.29,0.0,0.23399999999999999
7140.0,0.0,4769.459099999999,4769.459099999999,1130.3618066999998,0.0,0.474,1.295,0.0,0.237
7200.0,0.0,4867.200000000001,4867.200000000001,1168.1280000000002,0.0,0.48,1.3,0.0,0.24
7260.0,0.0,4986.4572,4986.4572,1216.6955567999998,0.0,0.488,1.305,0.0,0.244
7320.0,0.0,5107.113600000001,5107.113600000001,1266.5641728,0.0,0.496,1.31,0.0,0.248
7380.0,0.0,5229.176399999999,5229.176399999999,1317.7524528,0.0,0.504,1.315,0.0,0.252
7440.0,0.0,5352.652799999998,5352.652799999998,1370.2791167999994,0.0,0.512,1.3199999999999998,0.0,0.256
7500.0,0.0,5477.55,5477.55,1424.163,0.0,0.52,1.325,0.0,0.26
7560.0,0.0,5582.648400000001,5582.648400000001,1468.2365292000004,0.0,0.526,1.33,0.0,0.263
7620.0,0.0,5688.8622,5688.8622,1513.2373452,0.0,0.532,1.335,0.0,0.266
7680.0,0.0,5796.1968,5796.1968,1559.1769392,0.0,0.538,1.3399999999999999,0.0,0.269
7740.0,0.0,5904.6576,5904.6576,1606.0668672,0.0,0.544,1.345,0.0,0.272
7800.0,0.0,6014.249999999999,6014.249999999999,1653.9187499999998,0.0,0.55,1.3499999999999999,0.0,0.275
7860.0,0.0,6147.011700000001,6147.011700000001,1715.0162643000003,0.0,0.558,1.355,0.0,0.279
7920.0,0.0,6281.241599999999,6281.241599999999,1777.5913728,0.0,0.5660000000000001,1.3599999999999999,0.0,0.28300000000000003
7980.0,0.0,6416.9469,6416.9469,1841.6637603,0.0,0.574,1.365,0.0,0.287
8040.0,0.0,6554.1348,6554.1348,1907.2532267999998,0.0,0.582,1.3699999999999999,0.0,0.291
8100.0,0.0,6692.8125,6692.8125,1974.3796874999998,0.0,0.59,1.375,0.0,0.295
8160.0,0.0,6832.987199999999,6832.987199999999,2043.0631727999996,0.0,0.598,1.38,0.0,0.299
8220.0,0.0,6974.6661,6974.6661,2113.3238283,0.0,0.606,1.385,0.0,0.303
8280.0,0.0,7117.856399999999,7117.856399999999,2185.1819147999995,0.0,0.614,1.39,0.0,0.307
8340.0,0.0,7262.565300000001,7262.565300000001,2258.6578083000004,0.0,0.622,1.395,0.0,0.311
8400.0,0.0,7408.799999999999,7408.799999999999,2333.772,0.0,0.63,1.4,0.0,0.315
8460.0,0.0,7556.5677000000005,7556.5677000000005,2410.5450963000003,0.0,0.638,1.405,0.0,0.319
8520.0,0.0,7705.875599999999,7705.875599999999,2488.9978188,0.0,0.646,1.41,0.0,0.323
8580.0,0.0,7856.730900000001,7856.730900000001,2569.1510043000007,0.0,0.654,1.415,0.0,0.327
8640.0,0.0,8009.1408,8009.1408,2651.0256048,0.0,0.662,1.42,0.0,0.331
